long,prism,length,beam,ratio
0.0,530,4.78,3.75,3.15
-5.0,530,4.78,3.75,3.15
-5.0,530,4.78,3.75,3.15
-5.0,530,4.78,3.75,3.15
-5.0,530,4.78,3.75,3.15
-5.0,530,4.78,3.75,3.15
-5.0,530,4.78,3.75,3.15
-5.0,530,4.78,3.75,3.15
-5.0,530,4.78,3.75,3.15
-5.0,530,4.78,3.75,3.15
-5.0,530,4.78,3.75,3.15
-5.0,530,4.78,3.75,3.15
-5.0,530,4.78,3.75,3.15
-5.0,530,4.78,3.75,3.15
-5.0,530,4.78,3.75,3.15
-2.3,600,5.10,4.17,3.51
-2.3,600,5.10,4.17,3.51
-2.3,600,5.10,4.17,3.51
-2.3,600,5.10,4.17,3.51
-2.3,600,5.10,4.17,3.51
-2.3,600,5.10,4.17,3.51
-2.3,600,5.10,4.17,3.51
-2.3,600,5.10,4.17,3.51
-2.3,600,5.10,4.17,3.51
-2.3,600,5.10,4.17,3.51
-2.3,600,5.10,4.17,3.51
-2.3,600,5.10,4.17,3.51
-2.3,600,5.10,4.17,3.51
-2.3,600,5.10,4.17,3.51
-2.3,600,4.34,4.23,2.73
-2.3,600,4.34,4.23,2.73
-2.3,600,4.34,4.23,2.73
-2.3,600,4.34,4.23,2.73
-2.3,600,4.34,4.23,2.73
-2.3,600,4.34,4.23,2.73
-2.3,600,4.34,4.23,2.73
-2.3,600,4.34,4.23,2.73
-2.3,600,4.34,4.23,2.73
-2.3,600,4.34,4.23,2.73
-2.3,600,4.34,4.23,2.73
-2.3,600,4.34,4.23,2.73
-2.3,600,4.34,4.23,2.73
-2.3,600,4.34,4.23,2.73
